trial,grid,crumb,response
1,snack10,"[6,3]",-49
2,snack7,"[6,3]",-49
3,snack3,"[3,9]",-29
4,snack7,"[3,4]",-47
5,snack8,"[10,3]",-23
6,snack8,"[10,2]",-28
7,snack1,"[4,9]",-24
8,snack8,"[8,5]",-16
9,snack10,"[5,3]",-46
10,snack2,"[13,3]",50
11,snack2,"[13,4]",49
12,snack5,"[10,4]",32
13,snack1,"[10,10]",50
14,snack9,"[8,10]",36
15,snack10,"[6,11]",45
16,snack3,"[10,9]",24
17,snack3,"[11,9]",38
18,snack1,"[6,11]",1
19,snack2,"[5,4]",-2
20,snack7,"[3,10]",9
21,snack9,"[12,4]",-14
22,snack5,"[8,4]",-9
23,snack5,"[8,5]",2
24,snack6,"[7,10]",-5
25,snack9,"[8,5]",-16
26,snack6,"[8,13]",-2
27,snack6,"[7,9]",-3
