trial,agent,agent_type,path,is_return
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (7, 12), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (6, 12), (5, 12), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (2, 9), (3, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (3, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (5, 12), (6, 12), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (6, 11), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13)]",False
snack1,A,naive,"[(1, 13), (1, 12), (1, 11), (1, 10), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 10), (5, 9), (4, 9), (4, 8), (4, 7), (4, 6), (4, 5)]",True
snack1,A,naive,"[(4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13)]",False
