id,trial,agent,agent_type,is_return,path
1,snack3,B,naive,FALSE,"[[11,5],[11,6],[11,7],[11,8],[11,9],[11,10],[11,11],[11,12],[11,13]]"
1,snack3,B,naive,TRUE,"[[11,13],[11,12],[11,11],[11,10],[11,9],[11,8],[11,7],[11,6],[11,5]]"
1,snack6,B,naive,FALSE,"[[11,4],[11,5],[11,6],[11,7],[11,8],[11,9],[10,9],[9,9],[8,9],[8,10],[8,11],[8,12],[8,13]]"
1,snack6,B,naive,TRUE,"[[8,13],[8,12],[8,11],[8,10],[8,9],[9,9],[10,9],[11,9],[11,8],[11,7],[11,6],[11,5],[11,4]]"
2,snack9,A,sophisticated,FALSE,"[[5,4],[6,4],[7,4],[8,4],[8,5],[9,5],[10,5],[11,5],[12,5],[13,5],[13,4],[12,4],[11,4],[11,3]]"
2,snack9,A,sophisticated,TRUE,"[[11,3],[11,4],[11,5],[11,6],[10,6],[9,6],[8,6],[8,5],[8,4],[7,4],[6,4],[5,4]]"
2,snack8,A,sophisticated,FALSE,"[[5,3],[6,3],[7,3],[8,3],[8,4],[8,5],[8,6],[8,7],[8,8],[8,9],[9,9],[10,9],[11,9],[11,8],[11,7]]"
2,snack8,A,sophisticated,TRUE,"[[11,7],[11,6],[11,5],[11,4],[12,4],[13,4],[13,3],[12,3],[11,3],[10,3],[9,3],[8,3],[7,3],[6,3],[5,3]]"
2,snack2,A,sophisticated,FALSE,"[[3,10],[3,9],[3,8],[3,7],[3,6],[2,6],[1,6],[1,5],[1,4],[1,3],[1,2],[2,2],[3,2],[4,2],[5,2],[5,3]]"
2,snack2,A,sophisticated,TRUE,"[[5,3],[5,4],[6,4],[6,5],[5,5],[4,5],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10]]"
2,snack6,A,sophisticated,FALSE,"[[3,6],[3,7],[4,7],[5,7],[5,8],[5,9],[6,9],[7,9],[8,9],[8,10],[8,11],[8,12],[8,13]]"
2,snack6,A,sophisticated,TRUE,"[[8,13],[7,13],[6,13],[5,13],[5,12],[5,11],[5,10],[5,9],[5,8],[5,7],[4,7],[3,7],[3,6]]"
