trial,agent_type,fridge_A,fridge_B,crumb_A,crumb_B
1,naive,7.810249675906654,5.385164807134504,3,8.54400374531753
1,sophisticated,7.810249675906654,5.385164807134504,3,8.54400374531753
2,naive,12.206555615733702,7.280109889280518,3,8.54400374531753
2,sophisticated,12.206555615733702,7.280109889280518,3,8.54400374531753
3,naive,11.31370849898476,8,4,8.94427190999916
3,sophisticated,11.31370849898476,8,4,8.94427190999916
4,naive,12.206555615733702,7.280109889280518,6.082762530298219,9.219544457292889
4,sophisticated,12.206555615733702,7.280109889280518,6.082762530298219,9.219544457292889
5,naive,7.211102550927978,7.211102550927978,5,9.433981132056603
5,sophisticated,7.211102550927978,7.211102550927978,5,9.433981132056603
6,naive,7.211102550927978,7.211102550927978,5.0990195135927845,10.295630140987
6,sophisticated,7.211102550927978,7.211102550927978,5.0990195135927845,10.295630140987
7,naive,8.54400374531753,12.041594578792296,4,7.211102550927978
7,sophisticated,8.54400374531753,12.041594578792296,4,7.211102550927978
8,naive,7.211102550927978,7.211102550927978,3.605551275463989,6.708203932499369
8,sophisticated,7.211102550927978,7.211102550927978,3.605551275463989,6.708203932499369
9,naive,7.810249675906654,5.385164807134504,4,8.94427190999916
9,sophisticated,7.810249675906654,5.385164807134504,4,8.94427190999916
10,naive,7.280109889280518,9.219544457292889,12.206555615733702,7.280109889280518
10,sophisticated,7.280109889280518,9.219544457292889,12.206555615733702,7.280109889280518
11,naive,7.280109889280518,9.219544457292889,11.6619037896906,6.324555320336759
11,sophisticated,7.280109889280518,9.219544457292889,11.6619037896906,6.324555320336759
12,naive,9.219544457292889,7.615773105863909,9.219544457292889,6.324555320336759
12,sophisticated,9.219544457292889,7.615773105863909,9.219544457292889,6.324555320336759
13,naive,8.54400374531753,12.041594578792296,7.810249675906654,5
13,sophisticated,8.54400374531753,12.041594578792296,7.810249675906654,5
14,naive,6.082762530298219,9.219544457292889,6.708203932499369,3
14,sophisticated,6.082762530298219,9.219544457292889,6.708203932499369,3
15,naive,7.810249675906654,5.385164807134504,8.54400374531753,3
15,sophisticated,7.810249675906654,5.385164807134504,8.54400374531753,3
16,naive,11.31370849898476,8,8.06225774829855,4.123105625617661
16,sophisticated,11.31370849898476,8,8.06225774829855,4.123105625617661
17,naive,11.31370849898476,8,8.94427190999916,4
17,sophisticated,11.31370849898476,8,8.94427190999916,4
18,naive,8.54400374531753,12.041594578792296,6.324555320336759,7.211102550927978
18,sophisticated,8.54400374531753,12.041594578792296,6.324555320336759,7.211102550927978
19,naive,7.280109889280518,9.219544457292889,6.324555320336759,8.48528137423857
19,sophisticated,7.280109889280518,9.219544457292889,6.324555320336759,8.48528137423857
20,naive,12.206555615733702,7.280109889280518,9.219544457292889,6.082762530298219
20,sophisticated,12.206555615733702,7.280109889280518,9.219544457292889,6.082762530298219
21,naive,6.082762530298219,9.219544457292889,7,9.219544457292889
21,sophisticated,6.082762530298219,9.219544457292889,7,9.219544457292889
22,naive,9.219544457292889,7.615773105863909,7.810249675906654,7.211102550927978
22,sophisticated,9.219544457292889,7.615773105863909,7.810249675906654,7.211102550927978
23,naive,9.219544457292889,7.615773105863909,7.0710678118654755,6.4031242374328485
23,sophisticated,9.219544457292889,7.615773105863909,7.0710678118654755,6.4031242374328485
24,naive,8.602325267042627,9.486832980505138,5.656854249492381,7.211102550927978
24,sophisticated,8.602325267042627,9.486832980505138,5.656854249492381,7.211102550927978
25,naive,6.082762530298219,9.219544457292889,3.1622776601683795,5.830951894845301
25,sophisticated,6.082762530298219,9.219544457292889,3.1622776601683795,5.830951894845301
26,naive,8.602325267042627,9.486832980505138,8.602325267042627,9.486832980505138
26,sophisticated,8.602325267042627,9.486832980505138,8.602325267042627,9.486832980505138
27,naive,8.602325267042627,9.486832980505138,5,6.4031242374328485
27,sophisticated,8.602325267042627,9.486832980505138,5,6.4031242374328485
